id,latitude,longitude,stake_weight,uuid,distance_km,GDI,0.9linear_weight,0.8linear_weight,0.7linear_weight,0.6linear_weight,0.5linear_weight,0.9exponential_weight,0.8exponential_weight,0.7exponential_weight,0.6exponential_weight,0.5exponential_weight
15,25.765,-80.2,9811,d6f6c3a7-5b20-4105-b087-a18e35f56ba4,70.28220398398967,0.006875366386592437,9517,9224,8930,8636,8343,11578,13110,14184,14625,14360
17,41.3857,2.1699,12217,a456f15c-f095-4ea6-8ef1-4eafb0172653,140.472142441978,0.006181894700775063,11614,11010,10406,9803,9199,13956,15296,16019,15988,15195
18,33.7489,-84.3881,16845,b7405be6-5ff4-4159-831a-48c25a230bb1,154.3006636583127,0.005291237865837572,15690,14534,13379,12223,11068,18346,19172,19143,18217,16508
19,53.3478,-6.2597,13143,ad055108-501f-4b80-8e33-3291ae92be4a,4.663037535280464,0.004706773753001354,12299,11455,10612,9768,8925,14503,15356,15535,14978,13752
21,-27.4667,153.0333,3702,00bda451-6b12-48a4-8b89-d8c8b7ea5104,43.1296234682606,0.04587469147687139,7919,12136,16354,20571,24788,5823,8787,12671,17413,22787
22,41.85,-87.65,46464,5940f3d4-06bc-4c3a-b355-91f94d0f8341,120.6152276871878,0.004345993745182007,42252,38040,33828,29616,25405,44830,41503,36714,30950,24847
24,47.6097,-122.3331,33135,b3dc2c1b-b970-4e3a-a4c8-1977b75d8d20,144.9207193834918,0.007276842141914222,30549,27964,25378,22792,20206,34819,35107,33823,31054,27151
30,37.5483,-121.9875,56645,c77c3552-c429-475a-aa39-3084a4c26a4c,80.13753087947826,0.00751797889255672,51732,46820,41907,36994,32081,56600,54265,49713,43401,36083
34,50.45,30.5233,4072,fa48c8f2-3842-43f0-9a18-8b06a8a9388d,308.4347075436208,0.008516946733488668,4517,4961,5405,5850,6294,5361,6772,8173,9401,10297
36,3.1333,101.6833,33320,3ba28bad-6bac-42fa-9384-c9b1670202b0,324.39117191938016,0.020318385289489312,32020,30720,29420,28119,26819,38779,43303,46205,46984,45496
42,-33.9767,18.4244,740,d1a299e6-8ca3-4a01-88d6-71aabcee4ed2,31.6245930968924,0.034177413360355305,4084,7427,10771,14115,17458,1328,2286,3760,5893,8796
44,38.7,-9.1833,5923,64d0d533-e676-491a-84f3-40353f81d346,186.8626657650358,0.0055214972188074845,5883,5843,5803,5762,5722,7192,8380,9329,9897,9999
46,28.585,77.2,185,3b5e645f-56cd-46f0-9c44-187acf545698,19.38641630572308,0.016312350968004676,1797,3410,5023,6636,8248,354,650,1141,1908,3038
48,60.38,5.34,4072,14c842b3-2532-4a10-a7b2-ded820311d37,116.40926830459225,0.004875377155556444,4152,4233,4313,4393,4473,5070,6057,6914,7521,7791
49,6.2457,-75.5822,370,a58bd4c8-6d07-499a-a95f-e6fcc8987a99,2.1649408455261927,0.007852275815572084,1118,1866,2614,3363,4111,614,978,1488,2158,2981
50,-34.6036,-58.3817,6849,63c74be2-4a13-4ff5-8709-378a9b78329c,371.2420968623093,0.014922497727895648,7656,8463,9271,10078,10885,9053,11483,13916,16072,17677
57,-6.1333,106.75,1110,cf442825-ab0e-421f-9661-b8a648ee6cbc,373.6280670449973,0.02215695541237899,3215,5319,7424,9529,11633,1832,2899,4385,6320,8674
59,-43.5,172.6,1480,3957490e-ce5d-4d2e-8d50-327651c7aafb,13.182003697667726,0.04907744715898796,6240,11000,15759,20519,25279,2569,4279,6808,10323,14906
64,13.75,100.4833,2221,9cf4c70c-c69b-419d-b949-f98d99ff73c5,353.3086145592464,0.018890221573412264,3888,5555,7222,8888,10555,3364,4890,6790,8987,11326
65,21.0409,105.7981,2776,717e6bf6-9ad3-467d-858a-31a907591e50,523.4721828804569,0.017869286210923048,4286,5795,7304,8813,10323,4090,5781,7807,10049,12316
