id,latitude,longitude,stake_weight,uuid,distance_km,GDI,0.9linear_weight,0.8linear_weight,0.7linear_weight,0.6linear_weight,0.5linear_weight,0.9exponential_weight,0.8exponential_weight,0.7exponential_weight,0.6exponential_weight,0.5exponential_weight
119,34.6939,135.5022,18341,60f5ef2a-03b3-4dae-a2cf-39c1d5dd42fe,0.1011805435394299,0.031655144723487245,19672,21003,22335,23666,24998,21491,24795,28135,31354,34241
123,38.8633,-104.7919,11,d4c49bc0-e547-47a9-967a-13b197631d44,84.93952703345471,0.014749126698686915,1485,2959,4432,5906,7380,26,58,128,277,586
125,-23.55,-46.6333,6232,624f4b36-1786-4ac3-9532-7b8d6e6bb478,0.3984222461385471,0.03760462962532606,9369,12507,15644,18781,21918,8277,10822,13917,17577,21755
127,56.9489,24.1064,5215,7b4b5be5-77ca-4ba5-9828-05720358f06d,204.1688903077253,0.008983730699326939,5592,5969,6345,6722,7099,6110,7047,7995,8908,9727
133,24.95,55.3333,37,62442b60-878d-4dbc-80a3-90fdd00b836e,14.34927499745052,0.022590539754625313,2292,4548,6803,9058,11314,79,164,334,668,1310
150,45.8167,15.9833,36,03f7d361-0fce-437b-b53a-88cc806d4f11,60.737266266201715,0.007925219428306525,825,1614,2403,3191,3980,69,129,238,431,764
153,51.2333,6.7833,12301,866157df-428b-46dc-8917-4c1c0fa4c439,18.356882177637928,0.006731946391321654,11744,11187,10630,10073,9516,12850,13217,13370,13282,12932
154,42.7,23.3333,11,19a4f0df-94a8-40fe-8049-38abbb897486,294.9597934513379,0.009225104213000025,932,1854,2775,3696,4618,24,53,111,229,462
158,49.45,11.0833,5519,5058180a-85b7-4593-b884-e4df2f737985,4.447890780773978,0.007329587759475792,5700,5881,6062,6243,6424,6300,7081,7827,8496,9039
162,35.7789,-78.8003,1524,09a52201-41e5-418b-80d6-e9306bafd8f0,254.7120584195257,0.015127242607694593,2884,4245,5605,6965,8325,2128,2924,3952,5246,6824
185,48.5734,7.7521,693,8da448ca-52de-4946-9963-c1cd5a85f438,1.2644809340105674,0.007361523729653845,1360,2027,2693,3360,4027,974,1348,1834,2451,3211
192,34.6667,33.0333,39,dec3446c-13ea-4e3f-9d69-14bd4843a2aa,326.43998017816995,0.016581707814792596,1693,3348,5002,6656,8310,80,161,316,610,1154
196,52.5167,5.7167,11,6d0b88bb-5fee-465a-8373-064fde9b8854,35.41211986594771,0.00684240105109922,694,1377,2060,2743,3426,24,49,101,202,397
210,48.1333,11.5667,56,3850003a-5c8e-4800-9495-7cb3525b0978,0.7964298158996533,0.00741136317369828,791,1527,2262,2998,3733,101,181,317,545,918
216,52.0833,4.3167,12583,48886e35-336c-46b1-b788-ae327607473c,12.317539485182293,0.0068566279864782,12010,11437,10865,10292,9719,13139,13508,13658,13563,13199
230,39.7684,-86.1581,11,8d50cee3-7772-42b9-aca5-f07c9e410c62,23.600383266757675,0.013711036007163854,1381,2751,4121,5491,6861,25,57,124,267,562
232,10.8231,106.6297,60,d92b0ac3-bf26-4e6f-b41d-26619d482253,0.0155861235907466,0.03310217242318797,3364,6669,9973,13277,16581,126,259,524,1038,2016
239,32.0835,-81.0998,14,24cc4f81-3f22-49de-8dea-9cff85e49115,135.97784566417616,0.015324017345316776,1545,3076,4607,6138,7669,32,71,153,324,671
245,41.7141,44.8271,12,e62e85e2-af5e-4e54-8b93-35a8c327c044,2.290403361018568,0.01756228700672181,1767,3522,5277,7032,8787,28,63,142,309,661
250,39.627,-78.2272,24,e10d940e-0ac1-47fe-9921-c6220b1effe6,60.450709080697145,0.014469784391543802,1469,2913,4358,5802,7247,51,106,216,433,847
259,40.8258,-96.6852,6783,15423c9b-737b-4fff-8324-a9d9c52a0f05,84.44753890001164,0.013432161913356448,7448,8113,8777,9442,10107,8058,9425,10843,12251,13564
264,50.475,12.365,39160,3be0b1f8-959a-4f6d-97bd-79ba225610b2,119.82107729789092,0.007390733297413617,35983,32806,29629,26452,23275,36777,34006,30926,27621,24176
