id,latitude,longitude,stake_weight,uuid,distance_km,GDI,0.8linear_weight,0.6linear_weight,0.4linear_weight,0.2linear_weight,0linear_weight
37,34.0522,-118.2428,9396,4650ff34-56d6-4b72-810a-64c1891d3fb3,10.940994393405257,0.02825647699384152,13168,16940,20712,24484,28256
42,-33.9767,18.4244,3812,500299ae-7f37-4d67-9eec-adbda9f3d14b,5.660911777977078,0.036535092772041845,10356,16901,23445,29990,36535
45,60.21,24.66,16396,c49f122e-99db-4bd7-bce1-668d7ba273a1,15.875757861029603,0.010190216324592462,15155,13914,12672,11431,10190
50,-34.6036,-58.3817,3804,f119ee7c-d16e-4c3d-bded-3c1f1413a96a,1.1337956558174187,0.05243553778132908,13530,23256,32983,42709,52435
52,45.5081,-73.555,30220,55af7884-1698-4e7c-abe1-1fc9789c4df9,17.732849042807405,0.019910061249953325,28158,26096,24034,21972,19910
53,49.2505,-123.1119,7895,3d899471-e295-4dd6-ad44-089b024f7f25,0.5444345934013549,0.0242513745524898,11166,14437,17709,20980,24251
54,50.69,3.1817,55072,9976aa43-2967-4f5f-9ba7-ea8a6547658f,10.7452499668544,0.018532761385519046,47764,40456,33148,25840,18532
65,21.0409,105.7981,12936,856e7c21-1deb-4dcd-a043-f7fe3a5bcaa4,4.83064467928913,0.02117003582327245,14583,16229,17876,19523,21170
72,22.3,114.1667,51325,ab5ff1d6-a7dc-458a-84c2-d8ef7c698139,2.549456930537915,0.021988656929968722,45458,39590,33723,27856,21988
77,53.48,-2.24,23421,6e30a825-4af0-43f9-b8c0-6cb1b13a28c9,7.609489492851144,0.018097047073059376,22356,21291,20226,19161,18097
80,39.9611,-82.9989,3499,45f2a6a1-0673-44d3-b582-9d84241063f1,0.0140101025271348,0.022635427932201045,7326,11154,14981,18808,22635
82,45.5236,-122.675,3854,53e2292a-d89e-48c5-a5a2-9c05c59ec644,0.0960949235785456,0.023366414731722965,7756,11659,15561,19464,23366
91,52.4081,-1.5106,3121,a02fc270-fdac-49cb-a03e-92afc9383e0b,18.34683284639651,0.01818065801805501,6133,9145,12157,15168,18180
107,-33.8683,151.2086,2800,4f67c219-4781-416e-bf26-4bca3de07672,0.1322776508935634,0.075241598355693,17288,31776,46264,60753,75241
111,18.5236,73.8478,7497,9c2a7eef-4ddd-4c9e-bf3d-ad5cb49b0e6b,93.32066448937394,0.01875860442763328,9749,12001,14254,16506,18758
113,37.5665,126.978,80547,2db81224-189f-4c9e-8872-fc153398780e,13.529046865915443,0.0241171943525411,69261,57975,46689,35403,24117
127,56.9489,24.1064,16020,e059d6e8-34a4-467d-bdea-c26d9beef042,261.7313407381838,0.011093559746264938,15035,14049,13064,12079,11093
130,40.5456,-74.4608,1381,02d1bf58-ff37-4e3a-a275-52c777d07571,7.334292764650385,0.02169009627828662,5443,9504,13566,17628,21690
140,29.9667,-90.05,5082,bed8c809-85d5-4bbb-ac61-5e11362b6447,121.4798217811398,0.027679453891034513,9602,14121,18640,23160,27679
158,49.45,11.0833,15023,909e7b64-af54-4328-8887-86b45fd6497e,0.6276029327907783,0.018002044356332694,15619,16215,16810,17406,18002
171,40.782,-74.0676,4872,daf9ade2-fc42-4395-8935-5a8b08618498,9.143134126024233,0.02163418853624772,8224,11577,14929,18281,21634
175,-26.2044,28.0456,7008,d9da4ea5-2765-4762-b1c7-63e492604e2f,18.39923281117674,0.032459849793372554,12098,17189,22279,27369,32459
185,48.5734,7.7521,33636,c2c87660-376d-4f2f-9fc7-29517514b48f,1.2644809340105674,0.019282560605924322,30765,27894,25023,22153,19282
197,53.2167,6.5667,13410,8044dc90-66b6-4ab3-a826-a208d9fe8302,0.2779877005838149,0.018374309123975145,14402,15395,16388,17381,18374
210,48.1333,11.5667,12116,3c5c570f-d054-46bb-a3c6-5fb232124b8b,0.7964298158996533,0.018418304695551203,13376,14636,15897,17157,18418
217,52.4058,4.8211,76671,667ebef8-986a-4ab9-8c56-a8d0db9c2395,5.845903984157607,0.0183255986646799,65002,53333,41664,29994,18325
238,-15.7942,-47.8822,2791,22bbe221-594b-4740-9ce0-10bfc006e862,871.9251947265553,0.04392034893357968,11017,19243,27468,35694,43920
239,32.0835,-81.0998,32883,8e04393a-496c-470d-88e2-34c05830d01f,135.97784566417616,0.025662883845025127,31439,29995,28551,27107,25662
259,40.8258,-96.6852,15025,34081575-a888-4b9f-a57f-01d3269ab2dc,84.44753890001164,0.024782875288808553,16977,18928,20880,22831,24782
264,50.475,12.365,17767,010dde4b-aff3-457d-a07a-da7fe5ee3213,0.550212432570733,0.016575792094665965,17528,17290,17052,16814,16575
